ARTIST,SONG,DATE
Tobyfox,SAVE The World,"Nov 2016,"
Tobyfox,Pathetic House,"Nov 2016,"
Tobyfox,Metal Crusher,"Nov 2016,"
Tobyfox,Heartache,"Nov 2016,"
Tobyfox,Dummy!,"Nov 2016,"
Tobyfox,ASGORE,"Nov 2016,"
Tobyfox,Thundersnail,"Nov 2016,"
Tobyfox,CORE,"Nov 2016,"
Tobyfox,Once Upon a Time,"Nov 2016,"
Kendrick Lamar,Average Joe,"Nov 2016,"
Kendrick Lamar,Momma,"Nov 2016,"
Kendrick Lamar,untitled 01 | 08.19.2014.,"Nov 2016,"
The Weeknd,Sidewalks,"Nov 2016,"
Drake,Hotline Bling,"Nov 2016,"
The Weeknd,I Feel It Coming,"Nov 2016,"
The Weeknd,Starboy,"Nov 2016,"
James Arthur,Remember Who I Was,"Nov 2016,"
James Arthur,Say You Won't Let Go,"Nov 2016,"
James Arthur,Say You Won't Let Go,"Nov 2016,"
The Weeknd,Six Feet Under,"Nov 2016,"
The Chainsmokers,All We Know,"Nov 2016,"
The Weeknd,Sidewalks,"Nov 2016,"
Sia,Cheap Thrills,"Nov 2016,"
DJ Snake,Let Me Love You,"Nov 2016,"
The Weeknd,A Lonely Night,"Nov 2016,"
Hailee Steinfeld,Starving,"Nov 2016,"
Bruno Mars,24K Magic,"Nov 2016,"
Drake,Fake Love,"Nov 2016,"
Maroon 5,Don't Wanna Know,"Nov 2016,"
The Weeknd,Party Monster,"Nov 2016,"
Frenship,Capsize,"Nov 2016,"
Ariana Grande,Side To Side,"Nov 2016,"
Jonas Blue,Perfect Strangers,"Nov 2016,"
Twenty One Pilots,Ride,"Nov 2016,"
Zara Larsson,Ain't My Fault,"Nov 2016,"
Starley,Call On Me - Ryan Riback Remix,"Nov 2016,"
Alessia Cara,Scars To Your Beautiful,"Nov 2016,"
The Weeknd,Secrets,"Nov 2016,"
Martin Garrix,In the Name of Love,"Nov 2016,"
Zion & Lennox,Otra Vez (feat. J Balvin),"Nov 2016,"
Lil' Wayne,"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)","Nov 2016,"
Drake,One Dance,"Nov 2016,"
Major Lazer,Cold Water,"Nov 2016,"
The Chainsmokers,Closer,"Nov 2016,"
The Weeknd,False Alarm,"Nov 2016,"
Jonas Blue,Perfect Strangers,"Nov 2016,"
The Weeknd,Six Feet Under,"Nov 2016,"
Shakira,Chantaje,"Nov 2016,"
Tobyfox,Confession,"Nov 2016,"
Clean Bandit,Rockabye (feat. Sean Paul & Anne-Marie),"Nov 2016,"
The Weeknd,Party Monster,"Nov 2016,"
The Weeknd,Starboy,"Nov 2016,"
Drake,Hotline Bling,"Nov 2016,"
Drake,Hotline Bling,"Nov 2016,"
Tobyfox,Hopes And Dreams,"Nov 2016,"
Tobyfox,Uwa!! So Holiday♫,"Nov 2016,"
Tobyfox,Undyne,"Nov 2016,"
Tobyfox,Nyeh Heh Heh!,"Nov 2016,"
Tobyfox,Uwa!! So HEATS!!♫,"Nov 2016,"
Tobyfox,Snowy,"Nov 2016,"
Tobyfox,Shop,"Nov 2016,"
